x grid,y grid,weight
601,483,100
602,483,100
602,483,100
603,483,100
604,483,100
605,483,100
605,483,100
606,483,100
607,483,100
608,483,100
608,483,100
609,483,100
610,483,100
611,483,100
611,483,100
612,483,100
613,483,100
614,483,100
614,483,100
615,483,100
616,483,100
617,483,100
617,483,100
618,483,100
619,483,100
620,483,100
620,483,100
621,483,100
622,483,100
623,483,100
623,483,100
624,483,100
625,483,100
626,483,100
626,483,100
627,483,100
628,483,100
629,483,100
629,483,100
630,483,100
631,483,100
632,483,100
632,483,100
633,483,100
634,483,100
635,483,100
635,483,100
636,483,100
637,483,100
638,483,100
638,483,100
639,483,100
640,483,100
641,483,100
641,483,100
642,483,100
643,483,100
644,483,100
644,483,100
645,483,100
646,483,100
647,483,100
647,483,100
648,483,100
649,483,100
650,483,100
650,483,100
651,483,100
652,483,100
653,483,100
653,483,100
654,483,100
655,483,100
656,483,100
656,483,100
657,483,100
658,483,100
659,483,100
659,483,100
660,483,100
661,483,100
662,483,100
662,483,100
663,483,100
664,483,100
665,483,100
665,483,100
666,483,100
667,483,100
668,483,100
668,483,100
669,483,100
670,483,100
671,483,100
671,483,100
672,483,100
673,483,100
674,483,100
674,483,100
675,483,100
676,483,100
677,483,100
677,483,100
678,483,100
679,483,100
680,483,100
680,483,100
681,483,100
682,483,100
683,483,100
683,483,100
684,483,100
685,483,100
686,483,100
686,483,100
687,483,100
688,483,100
689,483,100
689,483,100
690,483,100
691,483,100
692,483,100
692,483,100
693,483,100
694,483,100
695,483,100
695,483,100
696,483,100
697,483,100
698,483,100
698,483,100
699,483,100
700,483,100
601,483,100
602,483,100
602,483,100
603,483,100
604,483,100
605,483,100
605,483,100
606,483,100
607,483,100
608,483,100
608,483,100
609,483,100
610,483,100
611,483,100
611,483,100
612,483,100
613,483,100
614,483,100
614,483,100
614,483,100
615,483,100
616,483,100
616,483,100
617,483,100
618,483,100
619,483,100
619,483,100
620,483,100
621,483,100
622,483,100
622,483,100
623,483,100
624,483,100
625,483,100
625,483,100
626,483,100
627,483,100
628,483,100
628,483,100
629,483,100
630,483,100
631,483,100
631,483,100
632,483,100
633,483,100
634,483,100
634,483,100
635,483,100
636,483,100
637,483,100
637,483,100
638,484,100
639,484,100
640,484,100
640,484,100
641,484,100
642,484,100
643,484,100
643,484,100
644,484,100
645,484,100
646,484,100
646,484,100
647,484,100
648,484,100
649,484,100
649,484,100
650,484,100
651,484,100
652,484,100
652,484,100
653,484,100
654,484,100
655,484,100
655,484,100
656,484,100
657,484,100
658,484,100
658,484,100
659,484,100
660,484,100
661,484,100
661,484,100
662,484,100
663,484,100
664,484,100
664,484,100
665,484,100
666,484,100
667,484,100
667,484,100
668,484,100
669,484,100
670,484,100
670,484,100
671,484,100
672,484,100
673,484,100
673,484,100
674,484,100
675,484,100
676,484,100
676,484,100
677,484,100
678,484,100
679,484,100
679,484,100
680,484,100
681,484,100
682,484,100
682,484,100
683,484,100
684,484,100
685,484,100
685,484,100
686,484,100
687,484,100
688,484,100
688,484,100
689,484,100
690,484,100
691,484,100
691,484,100
692,484,100
693,484,100
694,484,100
694,484,100
695,485,100
696,485,100
697,485,100
697,485,100
698,485,100
699,485,100
601,483,100
602,483,100
602,483,100
603,483,100
603,483,100
604,483,100
604,483,100
605,483,100
606,483,100
607,483,100
607,483,100
608,483,100
609,483,100
610,483,100
610,483,100
611,483,100
612,483,100
613,483,100
613,483,100
614,483,100
615,483,100
616,483,100
616,483,100
617,483,100
618,483,100
619,484,100
619,484,100
620,484,100
621,484,100
622,484,100
622,484,100
623,484,100
624,484,100
625,484,100
625,484,100
626,484,100
627,484,100
628,484,100
628,484,100
629,484,100
630,484,100
631,484,100
631,484,100
632,484,100
633,484,100
634,484,100
634,484,100
635,484,100
636,484,100
637,484,100
637,484,100
638,484,100
639,484,100
640,484,100
640,484,100
641,484,100
642,484,100
643,484,100
643,484,100
644,484,100
645,484,100
646,484,100
646,484,100
647,485,100
648,485,100
649,485,100
649,485,100
650,485,100
651,485,100
652,485,100
652,485,100
653,485,100
654,485,100
655,485,100
655,485,100
656,485,100
657,485,100
658,485,100
658,485,100
659,485,100
660,485,100
661,485,100
661,485,100
662,485,100
663,485,100
664,485,100
664,485,100
665,485,100
666,485,100
667,485,100
667,485,100
668,485,100
669,485,100
670,485,100
670,485,100
671,485,100
672,485,100
673,485,100
673,485,100
674,485,100
675,485,100
676,486,100
676,486,100
677,486,100
678,486,100
679,486,100
679,486,100
680,486,100
681,486,100
682,486,100
682,486,100
683,486,100
684,486,100
685,486,100
685,486,100
686,486,100
687,486,100
688,486,100
688,486,100
689,486,100
690,486,100
691,486,100
691,486,100
692,486,100
693,486,100
694,486,100
694,486,100
695,486,100
696,486,100
697,486,100
697,486,100
698,486,100
699,486,100
601,483,100
601,483,100
601,483,100
602,483,100
603,483,100
604,483,100
604,483,100
605,483,100
606,483,100
607,483,100
607,483,100
608,483,100
609,483,100
610,483,100
610,483,100
611,483,100
612,484,100
613,484,100
613,484,100
614,484,100
615,484,100
616,484,100
616,484,100
617,484,100
618,484,100
619,484,100
619,484,100
620,484,100
621,484,100
622,484,100
622,484,100
623,484,100
624,484,100
625,484,100
625,484,100
626,484,100
627,484,100
628,484,100
628,484,100
629,484,100
630,484,100
631,485,100
631,485,100
632,485,100
633,485,100
634,485,100
634,485,100
635,485,100
636,485,100
637,485,100
637,485,100
638,485,100
639,485,100
640,485,100
640,485,100
641,485,100
642,485,100
643,485,100
643,485,100
644,485,100
645,485,100
646,485,100
646,485,100
647,485,100
648,485,100
649,485,100
649,485,100
650,486,100
651,486,100
652,486,100
652,486,100
653,486,100
654,486,100
655,486,100
655,486,100
656,486,100
657,486,100
