x grid,y grid,weight,degrees
360,289,100,0.0
361,289,100,0.0
362,289,100,0.0
363,289,100,0.0
363,289,100,0.0
364,289,100,0.0
365,289,100,0.0
366,289,100,0.0
366,289,100,0.0
367,289,100,0.0
368,289,100,0.0
369,289,100,0.0
369,289,100,0.0
370,289,100,0.0
371,289,100,0.0
372,289,100,0.0
372,289,100,0.0
373,289,100,0.0
374,289,100,0.0
375,289,100,0.0
375,289,100,0.0
376,289,100,0.0
377,289,100,0.0
378,289,100,0.0
378,289,100,0.0
379,289,100,0.0
380,289,100,0.0
381,289,100,0.0
381,289,100,0.0
382,289,100,0.0
383,289,100,0.0
384,290,100,0.0
384,290,100,0.0
385,290,100,0.0
386,290,100,0.0
387,290,100,0.0
387,290,100,0.0
388,290,100,0.0
389,290,100,0.0
390,290,100,0.0
390,290,100,0.0
391,290,100,0.0
392,290,100,0.0
393,290,100,0.0
393,290,100,0.0
394,290,100,0.0
395,290,100,0.0
396,290,100,0.0
396,290,100,0.0
397,290,100,0.0
398,290,100,0.0
399,290,100,0.0
399,290,100,0.0
400,290,100,0.0
401,290,100,0.0
402,290,100,0.0
402,290,100,0.0
403,290,100,0.0
404,290,100,0.0
405,290,100,0.0
405,290,100,0.0
406,290,100,0.0
407,290,100,0.0
408,290,100,0.0
408,290,100,0.0
409,290,100,0.0
410,290,100,0.0
411,290,100,0.0
411,290,100,0.0
412,290,100,0.0
413,290,100,0.0
414,290,100,0.0
414,290,100,0.0
415,290,100,0.0
416,290,100,0.0
417,290,100,0.0
417,290,100,0.0
418,290,100,0.0
419,290,100,0.0
420,290,100,0.0
360,290,100,1.0
361,290,100,1.0
362,290,100,1.0
363,290,100,1.0
363,290,100,1.0
364,290,100,1.0
365,290,100,1.0
366,290,100,1.0
366,290,100,1.0
367,290,100,1.0
368,290,100,1.0
368,290,100,1.0
369,290,100,1.0
370,290,100,1.0
371,290,100,1.0
371,290,100,1.0
372,290,100,1.0
373,290,100,1.0
374,290,100,1.0
374,290,100,1.0
375,290,100,1.0
376,290,100,1.0
377,290,100,1.0
377,290,100,1.0
378,290,100,1.0
379,290,100,1.0
380,290,100,1.0
380,290,100,1.0
381,290,100,1.0
382,290,100,1.0
383,290,100,1.0
383,290,100,1.0
384,290,100,1.0
385,290,100,1.0
386,290,100,1.0
386,290,100,1.0
387,290,100,1.0
388,290,100,1.0
389,290,100,1.0
389,290,100,1.0
390,290,100,1.0
391,290,100,1.0
392,290,100,1.0
392,290,100,1.0
393,290,100,1.0
394,290,100,1.0
395,290,100,1.0
395,290,100,1.0
396,290,100,1.0
397,290,100,1.0
398,290,100,1.0
398,290,100,1.0
399,290,100,1.0
400,290,100,1.0
401,290,100,1.0
401,290,100,1.0
402,290,100,1.0
403,290,100,1.0
404,290,100,1.0
404,290,100,1.0
405,290,100,1.0
406,290,100,1.0
407,290,100,1.0
407,290,100,1.0
408,290,100,1.0
409,290,100,1.0
410,290,100,1.0
410,290,100,1.0
411,290,100,1.0
412,290,100,1.0
413,290,100,1.0
413,290,100,1.0
414,290,100,1.0
415,290,100,1.0
416,290,100,1.0
416,290,100,1.0
417,291,100,1.0
418,291,100,1.0
419,291,100,1.0
419,291,100,1.0
360,290,100,2.0
361,290,100,2.0
362,290,100,2.0
362,290,100,2.0
363,290,100,2.0
364,290,100,2.0
365,290,100,2.0
365,290,100,2.0
366,290,100,2.0
367,290,100,2.0
368,290,100,2.0
368,290,100,2.0
369,290,100,2.0
370,290,100,2.0
371,290,100,2.0
371,290,100,2.0
372,290,100,2.0
373,290,100,2.0
374,290,100,2.0
374,290,100,2.0
375,290,100,2.0
376,290,100,2.0
377,290,100,2.0
377,290,100,2.0
378,290,100,2.0
379,290,100,2.0
380,290,100,2.0
380,290,100,2.0
381,290,100,2.0
382,290,100,2.0
383,290,100,2.0
383,290,100,2.0
384,290,100,2.0
385,290,100,2.0
386,290,100,2.0
386,290,100,2.0
387,290,100,2.0
388,290,100,2.0
389,291,100,2.0
389,291,100,2.0
390,291,100,2.0
391,291,100,2.0
392,291,100,2.0
392,291,100,2.0
393,291,100,2.0
394,291,100,2.0
395,291,100,2.0
395,291,100,2.0
396,291,100,2.0
397,291,100,2.0
398,291,100,2.0
398,291,100,2.0
399,291,100,2.0
400,291,100,2.0
401,291,100,2.0
401,291,100,2.0
402,291,100,2.0
403,291,100,2.0
404,291,100,2.0
404,291,100,2.0
405,291,100,2.0
406,291,100,2.0
407,291,100,2.0
407,291,100,2.0
408,291,100,2.0
409,291,100,2.0
410,291,100,2.0
410,291,100,2.0
411,291,100,2.0
412,291,100,2.0
413,291,100,2.0
413,291,100,2.0
414,291,100,2.0
415,291,100,2.0
416,291,100,2.0
416,291,100,2.0
417,292,100,2.0
418,292,100,2.0
419,292,100,2.0
419,292,100,2.0
360,290,100,3.0
361,290,100,3.0
362,290,100,3.0
362,290,100,3.0
363,290,100,3.0
364,290,100,3.0
365,290,100,3.0
365,290,100,3.0
366,290,100,3.0
367,290,100,3.0
368,290,100,3.0
368,290,100,3.0
369,290,100,3.0
370,290,100,3.0
371,290,100,3.0
371,290,100,3.0
372,290,100,3.0
373,290,100,3.0
374,290,100,3.0
374,290,100,3.0
375,290,100,3.0
376,290,100,3.0
377,290,100,3.0
377,290,100,3.0
378,290,100,3.0
379,291,100,3.0
380,291,100,3.0
380,291,100,3.0
381,291,100,3.0
382,291,100,3.0
383,291,100,3.0
383,291,100,3.0
384,291,100,3.0
385,291,100,3.0
386,291,100,3.0
386,291,100,3.0
387,291,100,3.0
388,291,100,3.0
389,291,100,3.0
389,291,100,3.0
390,291,100,3.0
391,291,100,3.0
392,291,100,3.0
392,291,100,3.0
393,291,100,3.0
394,291,100,3.0
395,291,100,3.0
395,291,100,3.0
396,291,100,3.0
397,291,100,3.0
398,292,100,3.0
398,292,100,3.0
399,292,100,3.0
400,292,100,3.0
401,292,100,3.0
401,292,100,3.0
402,292,100,3.0
403,292,100,3.0
404,292,100,3.0
404,292,100,3.0
405,292,100,3.0
406,292,100,3.0
407,292,100,3.0
407,292,100,3.0
408,292,100,3.0
409,292,100,3.0
410,292,100,3.0
410,292,100,3.0
411,292,100,3.0
412,292,100,3.0
413,292,100,3.0
413,292,100,3.0
414,292,100,3.0
415,292,100,3.0
416,292,100,3.0
416,292,100,3.0
417,293,100,3.0
418,293,100,3.0
419,293,100,3.0
419,293,100,3.0
360,290,100,4.0
361,290,100,4.0
362,290,100,4.0
362,290,100,4.0
363,290,100,4.0
364,290,100,4.0
365,290,100,4.0
365,290,100,4.0
366,290,100,4.0
367,290,100,4.0
368,290,100,4.0
368,290,100,4.0
369,290,100,4.0
370,290,100,4.0
371,290,100,4.0
371,290,100,4.0
372,290,100,4.0
373,290,100,4.0
374,291,100,4.0
374,291,100,4.0
375,291,100,4.0
376,291,100,4.0
377,291,100,4.0
377,291,100,4.0
378,291,100,4.0
379,291,100,4.0
380,291,100,4.0
380,291,100,4.0
381,291,100,4.0
382,291,100,4.0
383,291,100,4.0
383,291,100,4.0
384,291,100,4.0
385,291,100,4.0
386,291,100,4.0
386,291,100,4.0
387,291,100,4.0
388,291,100,4.0
389,292,100,4.0
389,292,100,4.0
390,292,100,4.0
391,292,100,4.0
392,292,100,4.0
392,292,100,4.0
393,292,100,4.0
394,292,100,4.0
395,292,100,4.0
395,292,100,4.0
396,292,100,4.0
397,292,100,4.0
398,292,100,4.0
398,292,100,4.0
399,292,100,4.0
400,292,100,4.0
401,292,100,4.0
401,292,100,4.0
402,292,100,4.0
403,293,100,4.0
404,293,100,4.0
404,293,100,4.0
405,293,100,4.0
406,293,100,4.0
407,293,100,4.0
407,293,100,4.0
408,293,100,4.0
409,293,100,4.0
410,293,100,4.0
410,293,100,4.0
411,293,100,4.0
412,293,100,4.0
413,293,100,4.0
413,293,100,4.0
414,293,100,4.0
415,293,100,4.0
416,293,100,4.0
416,293,100,4.0
417,294,100,4.0
418,294,100,4.0
419,294,100,4.0
419,294,100,4.0
360,290,100,5.0
361,290,100,5.0
362,290,100,5.0
362,290,100,5.0
363,290,100,5.0
364,290,100,5.0
365,290,100,5.0
365,290,100,5.0
366,290,100,5.0
367,290,100,5.0
368,290,100,5.0
368,290,100,5.0
369,290,100,5.0
370,290,100,5.0
371,290,100,5.0
371,291,100,5.0
372,291,100,5.0
373,291,100,5.0
374,291,100,5.0
374,291,100,5.0
375,291,100,5.0
376,291,100,5.0
377,291,100,5.0
377,291,100,5.0
378,291,100,5.0
379,291,100,5.0
380,291,100,5.0
380,291,100,5.0
381,291,100,5.0
382,291,100,5.0
383,292,100,5.0
383,292,100,5.0
384,292,100,5.0
385,292,100,5.0
386,292,100,5.0
386,292,100,5.0
387,292,100,5.0
388,292,100,5.0
389,292,100,5.0
389,292,100,5.0
390,292,100,5.0
391,292,100,5.0
392,292,100,5.0
392,292,100,5.0
393,292,100,5.0
394,292,100,5.0
395,293,100,5.0
395,293,100,5.0
396,293,100,5.0
397,293,100,5.0
398,293,100,5.0
398,293,100,5.0
399,293,100,5.0
400,293,100,5.0
401,293,100,5.0
401,293,100,5.0
402,293,100,5.0
403,293,100,5.0
404,293,100,5.0
404,293,100,5.0
405,293,100,5.0
406,294,100,5.0
407,294,100,5.0
407,294,100,5.0
408,294,100,5.0
409,294,100,5.0
410,294,100,5.0
410,294,100,5.0
411,294,100,5.0
412,294,100,5.0
413,294,100,5.0
413,294,100,5.0
414,294,100,5.0
415,294,100,5.0
416,294,100,5.0
416,294,100,5.0
417,295,100,5.0
417,295,100,5.0
419,295,100,5.0
419,295,100,5.0
360,290,100,6.0
361,290,100,6.0
362,290,100,6.0
362,290,100,6.0
363,290,100,6.0
364,290,100,6.0
365,290,100,6.0
365,290,100,6.0
366,290,100,6.0
367,290,100,6.0
368,290,100,6.0
368,290,100,6.0
369,291,100,6.0
370,291,100,6.0
371,291,100,6.0
371,291,100,6.0
372,291,100,6.0
373,291,100,6.0
374,291,100,6.0
374,291,100,6.0
375,291,100,6.0
376,291,100,6.0
377,291,100,6.0
377,291,100,6.0
378,291,100,6.0
379,292,100,6.0
380,292,100,6.0
380,292,100,6.0
381,292,100,6.0
382,292,100,6.0
383,292,100,6.0
383,292,100,6.0
384,292,100,6.0
385,292,100,6.0
386,292,100,6.0
386,292,100,6.0
387,292,100,6.0
388,292,100,6.0
389,293,100,6.0
389,293,100,6.0
390,293,100,6.0
391,293,100,6.0
392,293,100,6.0
392,293,100,6.0
393,293,100,6.0
394,293,100,6.0
395,293,100,6.0
395,293,100,6.0
396,293,100,6.0
396,293,100,6.0
398,294,100,6.0
398,294,100,6.0
399,294,100,6.0
400,294,100,6.0
401,294,100,6.0
401,294,100,6.0
402,294,100,6.0
402,294,100,6.0
404,294,100,6.0
404,294,100,6.0
405,294,100,6.0
406,294,100,6.0
407,294,100,6.0
407,295,100,6.0
408,295,100,6.0
408,295,100,6.0
410,295,100,6.0
410,295,100,6.0
411,295,100,6.0
412,295,100,6.0
413,295,100,6.0
413,295,100,6.0
414,295,100,6.0
415,295,100,6.0
